MINIGNAN,2,0,3,0,0,0,2,0,0,0,107,0,2,0,2,118
ODIENNE,467,24,76,0,11,1,10,0,4,16,352,16,28,12,113,1130
TOUBA,64,1,8,0,0,0,0,0,3,9,198,0,7,9,36,335
LÔH-DJIBOUA,197,33,201,0,18,3,70,14,17,52,812,1,59,70,295,1679
DIVO,101,12,118,0,0,3,66,8,14,48,488,1,43,58,191,1151
FRESCO,39,13,8,0,11,0,0,1,0,0,9,0,7,0,23,111
GUITRY,14,3,9,0,0,0,0,0,0,0,109,0,1,12,15,9999999
LAKOTA,43,5,66,0,7,0,4,5,3,4,206,0,8,0,66,417
MARAHOUE,81,6,53,0,3,2,30,0,12,14,561,25,38,48,143,1016
BOUAFLE,57,4,32,0,2,0,24,0,7,9,291,25,17,29,95,592
SINFRA,1,1,8,0,1,0,1,0,0,3,187,0,14,18,11,245
ZUENOULA,23,1,13,0,0,2,5,0,5,2,83,0,7,1,37,179
N'ZI-IFOU,218,6,85,0,7,2,27,4,19,41,652,5,29,15,342,1452
BOCANDA,38,1,13,0,0,2,0,0,1,6,50,0,2,3,29,145
BONGOUANOU,112,0,6,0,0,0,2,0,2,8,248,0,5,3,209,595
DAOUKRO,19,3,29,0,5,0,6,0,7,20,138,2,10,9,0,248
DIMBOKRO,17,2,16,0,0,0,9,4,5,7,96,0,6,0,70,232
MBAHIAKRO,12,0,7,0,0,0,6,0,3,0,46,3,5,0,15,97
PRIKRO,20,0,14,0,2,0,4,0,1,0,74,0,1,0,19,135
PORO-TCHOLOGO-BAGOUE,484,32,104,0,4,3,42,78,73,63,2302,75,56,393,587,4296
BOUNDIALI,13,0,4,0,0,0,0,0,1,1,425,9,1,3,12,469
FERKESSEDOUGOU,93,3,2,0,3,1,16,0,9,6,346,63,10,52,18,622
KORHOGO,359,29,96,0,1,2,26,78,61,56,1241,3,44,325,557,2878
OUANGOLODOUGOU,15,0,0,0,0,0,0,0,2,0,148,0,0,8,0,173
TENGRELA,4,0,2,0,0,0,0,0,0,0,142,0,1,5,0,154
SUD-COMOE,93,6,84,0,9,4,36,29,17,25,537,10,15,71,182,1118
ABOISSO,33,1,43,0,4,2,22,5,0,16,148,10,7,29,111,431
ADIAKE,3,3,23,0,5,1,7,17,10,7,214,0,2,21,48,361
GRAND-BASSAM,57,2,18,0,0,1,7,7,7,2,175,0,6,21,23,326
TONKPI,290,30,84,0,4,0,15,11,33,14,1034,36,68,32,260,1911
BIANKOUMA,17,3,9,0,0,0,4,0,1,4,148,2,5,0,16,209
DANANE,45,5,13,0,3,0,6,2,14,1,175,15,22,0,39,340
MAN,213,19,60,0,1,0,2,9,17,9,587,13,26,32,188,1176
ZOUAN-HOUNIEN,15,3,2,0,0,0,3,0,1,0,124,6,15,0,17,186
WORODOUGOU-BERE,74,33,44,0,0,0,3,2,3,3,1037,10,20,1,134,1364
MANKONO,26,1,0,0,0,0,3,0,0,0,491,10,3,1,112,647
SEGUELA,48,32,44,0,0,0,0,2,3,3,546,0,17,0,22,717
TOTAL CI, 3886,332,1685,2156,60,588,328,756,656,21458,281,892,1231,5649,42222
