REGIONS/DISTRICTS; Couverture en BCG (%);Couverture en VPO-1 (%);Couverture en VPO-2 (%);Couverture en VPO-3(%);Couverture en Penta-1 (%);Couverture en Penta-2(%);Couverture en Penta-3(%);Couverture en PCV13-1 (%);Couverture en PCV13- 2 (%);Couverture en PCV13-3 (%);Couverture en VPI (%);VAR-2;VAA;Couverture en VAT 2+ (%)
GBOKLE-NAWA-SAN-PEDRO; 98,39;106,91;100,27;101,89;108,76;101,97;103,87;108,44;101,27;102,55;0,03;95,10;91,95;83,21
GUEYO; 99,61;102,32;97,39;99,79;103,28;98,34;100,75;103,16;98,22;100,55;0,00;101,34;101,59;86,38
SAN-PEDRO; 100,48;104,47;97,41;97,42;107,47;100,02;99,87;107,29;99,46;99,01;0,00;92,79;93,03;88,95
SASSANDRA; 112,90;126,83;110,69;117,18;127,83;111,58;119,81;126,84;110,82;114,62;0,35;108,25;97,25;99,95
SOUBRE; 94,36;104,99;99,84;101,99;106,42;101,21;103,73;106,04;100,19;102,70;0,00;93,06;88,70;73,55
TABOU; 94,61;106,45;102,68;101,90;107,97;104,32;103,42;107,90;104,18;102,46;0,00;94,33;91,31;88,83
GÔH; 103,06;94,58;89,27;89,65;101,63;95,43;97,03;97,17;91,23;91,25;0,00;92,99;88,59;83,29
GAGNOA; 108,80;94,81;88,94;88,17;105,27;97,85;98,75;99,31;92,15;91,46;0,00;92,23;85,68;93,04
OUME; 91,55;94,12;89,92;92,63;94,32;90,56;93,59;92,86;89,38;90,82;0,00;94,51;94,43;63,76
HAMBOL; 89,98;99,04;93,11;92,71;99,81;93,78;93,46;98,00;91,70;90,72;0,00;87,83;86,89;70,64
DABAKALA; 92,40;101,76;95,54;92,56;101,76;95,54;92,56;98,95;92,31;87,93;0,00;80,58;78,31;69,91
KATIOLA; 97,88;102,31;92,77;95,25;104,83;94,80;97,54;102,20;92,11;94,38;0,00;100,71;100,23;80,93
NIAKARAMADOUGOU; 80,74;93,35;90,77;90,74;93,50;91,01;91,01;93,44;90,68;90,67;0,00;84,88;85,01;62,80
HAUT SASSANDRA; 91,74;99,81;91,98;91,88;101,89;94,46;94,51;101,02;93,45;93,31;0,03;85,20;84,53;94,75
DALOA; 87,33;95,58;88,88;91,70;96,42;89,99;93,40;95,48;89,21;92,60;0,00;85,89;85,92;90,33
ISSIA; 91,01;106,86;97,16;95,10;106,89;97,16;95,10;106,86;97,13;95,06;0,12;92,19;90,55;107,24
VAVOUA; 100,68;101,99;93,56;89,59;108,10;100,66;96,12;106,66;98,42;93,21;0,00;78,16;76,99;91,38
INDENIE DUABLIN; 87,02;97,75;95,52;96,09;98,31;96,20;96,63;97,87;95,89;96,29;2,18;88,29;78,25;64,99
ABENGOUROU; 92,12;103,38;100,23;99,18;103,45;100,30;99,33;103,45;100,30;99,33;0,00;91,05;84,21;63,32
AGNIBILEKROU; 80,43;87,40;85,16;92,24;89,29;87,43;93,95;87,65;86,30;92,63;1,33;83,94;68,89;58,51
BETTIE; 79,14;95,31;96,89;91,03;95,19;96,89;90,87;95,34;96,89;91,03;12,92;85,61;72,37;85,02
KABADOUGOU-BAFING-FOLON; 82,45;103,13;96,39;96,90;103,44;96,49;97,09;103,38;96,44;96,91;0,05;89,83;88,71;91,27
MINIGNAN; 80,40;104,96;98,59;101,65;105,01;98,55;101,57;105,03;98,57;101,53;0,00;98,74;97,17;88,63
ODIENNE; 91,74;104,77;98,84;100,63;104,77;98,85;100,63;104,77;98,84;100,61;0,12;96,96;96,57;87,66
TOUBA; 72,95;100,04;92,12;89,51;100,89;92,42;90,09;100,70;92,28;89,63;0,00;75,80;74,13;97,16
LÔH-DJIBOUA; 100,48;103,67;98,27;102,05;103,93;98,50;102,38;103,48;97,52;101,05;1,88;95,82;94,34;91,30
DIVO; 102,69;102,13;98,28;100,72;102,45;98,43;100,96;102,91;98,67;101,31;0,00;98,66;95,49;89,18
FRESCO; 81,41;98,04;99,48;106,62;98,45;99,48;106,58;94,98;93,70;97,83;10,74;92,26;91,89;87,64
GUITRY; 101,00;102,68;97,45;101,47;103,12;98,05;101,68;102,85;97,43;100,94;2,60;101,31;101,18;95,83
LAKOTA;106,71;111,37;98,25;102,73;111,27;98,45;103,58;110,47;97,38;102,50;0,00;86,81;87,18;94,08
MARAHOUE; 98,56;103,09;96,62;97,98;104,40;98,24;99,95;104,05;97,88;99,38;0,00;92,96;89,91;86,63
BOUAFLE; 101,00;103,99;96,05;94,73;106,49;99,26;98,60;106,52;98,89;98,04;0,01;85,65;83,69;80,70
SINFRA; 86,00;97,82;94,21;96,88;97,91;94,34;97,14;97,87;94,36;97,01;0,00;98,79;98,27;74,70
ZUENOULA; 107,62;107,06;99,97;104,16;107,77;100,65;104,92;106,55;99,90;103,88;0,00;98,38;91,06;108,06
N'ZI-IFOU; 77,88;89,23;87,29;92,94;89,88;88,14;93,83;89,89;88,08;93,82;0,00;88,36;84,51;68,40
BOCANDA; 72,40;80,13;78,31;86,55;80,13;78,31;86,55;80,13;78,33;86,55;0,00;80,48;80,66;59,46
BONGOUANOU; 81,95;90,87;88,67;94,62;92,60;90,97;97,06;92,56;90,85;97,01;0,00;91,19;83,99;76,86
DAOUKRO; 87,35;93,43;91,85;95,58;93,31;91,90;95,44;93,41;91,78;95,38;0,00;90,85;84,23;63,56
DIMBOKRO; 76,98;101,69;95,25;100,31;101,69;95,25;100,31;101,69;95,25;100,31;0,00;97,15;97,96;72,37
M'BAHIAKRO; 62,97;74,45;76,15;81,78;74,45;75,85;81,78;74,48;75,85;81,96;0,00;79,34;77,25;63,96
PRIKRO; 71,66;88,59;88,95;93,37;89,00;89,31;93,63;89,00;89,25;93,65;0,00;83,81;82,76;58,79
PORO-TCHOLOGO-BAGOUE; 108,63;104,26;98,25;101,00;108,44;102,48;105,76;98,36;93,16;95,91;0,00;100,74;95,88;96,66
BOUNDIALI; 94,45;103,35;93,74;95,78;109,10;100,97;103,06;94,77;88,76;87,24;0,00;98,39;96,68;84,90
FERKESSEDOUGOU; 106,88;113,64;108,06;106,51;113,82;108,06;106,62;111,68;106,00;104,15;0,00;100,85;100,15;95,67
KORHOGO; 114,38;99,65;94,53;96,93;105,02;99,66;102,82;90,57;86,52;90,43;0,00;98,21;94,40;95,42
OUANGOLODOUGOU; 108,21;108,96;102,62;116,01;110,32;104,02;117,68;106,46;100,03;112,19;0,00;109,37;90,21;117,69
TENGRELA; 107,50;108,14;104,26;97,60;114,80;110,03;104,84;114,18;106,94;101,39;0,00;104,55;106,96;89,88
SUD-COMOE; 86,24;92,32;89,85;89,10;93,03;90,44;89,87;92,54;90,02;89,35;0,57;80,22;78,57;71,90
ABOISSO; 94,34;98,52;94,30;92,67;99,95;95,53;94,32;99,04;94,76;93,53;0,17;82,95;80,07;81,76
ADIAKE; 68,42;84,70;83,62;86,63;84,65;83,67;86,48;84,37;83,47;85,91;2,27;79,21;78,95;61,93
GRAND-BASSAM; 86,14;88,06;87,30;85,31;88,18;87,29;85,35;88,18;87,24;85,29;0,00;76,71;75,99;63,58
TONKPI; 98,37;104,97;94,33;95,79;107,10;96,70;99,29;106,45;96,26;98,60;0,00;93,42;90,49;94,33
BIANKOUMA; 96,17;118,26;106,84;104,69;119,93;109,17;106,80;119,75;109,33;106,71;0,00;94,09;84,09;93,82
DANANE; 100,58;102,77;97,94;96,97;103,19;98,44;97,55;102,32;97,60;96,81;0,00;92,27;91,04;93,60
MAN; 101,64;102,59;85,72;91,67;105,50;89,38;98,26;104,73;88,80;97,29;0,00;94,17;93,59;99,73
ZOUAN-HOUNIEN; 91,79;96,34;89,66;90,80;100,08;92,47;94,56;99,42;92,14;93,72;0,00;92,90;91,77;86,01
WORODOUGOU-BERE; 91,43;111,81;101,37;102,76;112,02;101,73;103,34;108,88;98,84;100,17;0,00;97,80;94,88;95,13
MANKONO; 82,14;106,53;95,72;97,56;106,89;96,32;98,48;103,86;93,35;94,87;0,00;92,53;87,02;81,02
SEGUELA; 104,68;119,34;109,43;110,18;119,34;109,46;110,27;116,02;106,67;107,72;0,00;105,33;106,10;115,26
TOTAL CI; 92,45;98,56;93,71;96,11;99,80;94,99;97,59;98,51;93,66;95,96;0,74;90,72;88,43;84,53
