CODE,ADM_NAME,CONTINENT,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15
KE,Kenya,Afrique,CTR,352130700,2,200689587,27349943,16,660000,0,0,0,0,0,0,70349110,0,22781713,0,0
LV,Lettonie,Europe,CTR,171308939,10167333,22150506,0,0,0,0,0,0,0,29558466,0,109432634,0,0
LB,Liban,Asie,CTR,859325936,242086310,430474925,7092000,53567517,0,0,0,0,0,34155125,0,7349316,0,0
LR,Liberia,Afrique,CTR,206232606,87240000,87420324,0,0,0,0,0,0,0,16572282,0,0,0,0
LT,Lituanie,Europe,CTR,7331112,6532583,798529,0,0,0,0,0,0,0,0,0,0,0,0
LU,Luxembourg,Europe,CTR,506597286,164672288,13712027,0,0,0,0,0,0,0,83679267,0,0,0,0
MK,Macédoine Du Nord,Europe,CTR,6036247,2951807,3084440,0,0,0,0,0,0,0,0,0,0,0,0
MG,Madagascar,Afrique,CTR,6581432,5575634,0,0,0,0,0,0,0,0,1005798,0,0,0,0
MY,Malaisie,Asie,CTR,14258010,6,5903613,1055268,0,7299129,6,0,0,0,0,0,0,0,0,0,0
MW,Malawi,Afrique,CTR,10120800,10120800,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,Maldives,Asie,CTR,61686332,0,61686332,0,0,0,0,0,0,0,0,0,0,0,0
MT,Malte,Europe,CTR,150794311,96032990,54761321,0,0,0,0,0,0,0,0,0,0,0,0
MA,Maroc,Afrique,CTR,4513069090,1883354880,1518274779,145644304,4673038,5840000,19941867,0,0,0,264280328,0,137355303,1,0,0
MU,Maurice ,Afrique,CTR,2454823200,608906380,5,939378491,5,30997117,4974720,0,0,0,15521254,0,388099639,0,318961349,0,0
MR,Mauritanie,Afrique,CTR,218315765,97958118,119770487,0,0,0,0,0,0,0,0,0,0,0,0
MZ,Mozanbique,Afrique,CTR,2633640,0,0,0,0,0,0,0,0,0,0,0,2633640,0,0
NA,Namibie,Afrique,CTR,1590409,0,1590409,0,0,0,0,0,0,0,0,0,0,0,0
NP,Nepal,Asie,CTR,1548059,0,1548059,0,0,0,0,0,0,0,0,0,0,0,0
NG,Nigeria,Afrique,CTR,326920674,8,243886750,8,11383354,0,45637018,0,2000000,0,0,0,0,0,3880349,0,0
NO,Norvege,Europe,CTR,576787154,3,336831143,239956011,3,0,0,0,0,0,0,0,0,0,0,0,0
NZ,Nouvelle-Zélande,Océanie,CTR,21587545,21587545,0,0,0,0,0,0,0,0,0,0,0,0,0
UG,Ouganda,Afrique,CTR,17068296,7332025,4414031,0,5322240,0,0,0,0,0,0,0,0,0,0
PK,Pakistan,Asie,CTR,89787396,79627158,10160238,0,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,Amérique,CTR,52237500,0,52237500,0,0,0,0,0,0,0,0,0,0,0,0
NL,Pays-Bas,Europe,CTR,1912816452,796241482,9,607551709,0,191158519,3,0,0,0,0,0,142721331,0,66255895,0,0
PE,Perou,Amérique,CTR,28706404,23182721,5523683,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,Asie,CTR,65579880,60400000,5179880,0,0,0,0,0,0,0,0,0,0,0,0
PL,Pologne,Europe,CTR,56668781,89,52359144,4309637,89,0,0,0,0,0,0,0,0,0,0,0,0
PT,Portugal,Europe,CTR,753712123,7,415532155,214920957,7,0,0,0,0,38701463,0,0,82064912,0,0,0,0
CD,République Démocratique Du Congo,Afrique,CTR,60317903,7901360,34712790,0,8849159,960566,0,0,0,0,0,0,778028,0,0
DO,Republique Dominicaine,Amérique,CTR,40326378,0,0,40326378,0,0,0,0,0,0,0,0,0,0,0
CG,République Du Congo,Afrique,CTR,1526200,0,1526200,0,0,0,0,0,0,0,0,0,0,0,0
CZ,République Tchèque,Europe,CTR,1810441,787148,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Roumanie,Europe,CTR,70733034,0,70733034,0,0,0,0,0,0,0,0,0,0,0,0
GB,Royaume-Uni,Europe,CTR,7831311930,3779424578,2342098501,129955464,156250557,111515814,86231643,11959570,21581955,12780000,418590131,8,0,260394613,12964124,0
RU,Russie,Europe,CTR,86184259,18,0,15245104,48,0,0,0,0,0,0,0,0,0,729031,0,0
RW,Rwanda,Afrique,CTR,51320019,6053966,38380607,0,0,509776,6375670,0,0,0,0,0,0,0,0
SC,Seychelles,Afrique,CTR,275828250,6,144636850,6,131191400,0,0,0,0,0,0,0,0,0,0,0,0
SL,Sierra Leone,Afrique,CTR,30363754,11630909,18732845,0,0,0,0,0,0,0,0,0,0,0,0
SG,Singapour ,Asie,CTR,120380479,7,58099107,36021454,0,0,0,0,0,0,0,0,0,1536022,0,0
SK,Slovaquie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SI,Slovénie,Europe,CTR,10474991,5029144,5445847,0,0,0,0,0,0,0,0,0,0,0,0
SE,Suède,Europe,CTR,192886633,95070022,6114043,0,0,0,0,0,0,0,0,0,0,0,0
CH,Suisse,Europe,CTR,3884467146,1933502359,1156683080,5778981,8664654,878308,11583267,4,96931878,1445532,0,110454464,45660100,127537352,0,12079756
TW,Taïwan,Asie,CTR,14510307,0,0,14510307,0,0,0,0,0,0,0,0,0,0,0
TZ,Tanzanie,Afrique,CTR,16929430,10963120,5966310,0,0,0,0,0,0,0,0,0,0,0,0
TD,Tchad,Afrique,CTR,99410000,1410000,0,0,0,0,0,98000000,0,0,0,0,0,0,0
TN,Tunisie,Afrique,CTR,2605636944,1366581276,721553189,5,40752772,20447492,57164200,69,1155796,0,0,643507,53912159,0,58442475,0,0
TR,Turquie,Asie,CTR,170270465,1,5607121,153619953,1,0,1565200,0,0,0,8166277,0,0,0,0,0,0
VD,Vietnam,Asie,CTR,16549420,0,0,0,16549420,0,0,0,0,0,0,0,0,0,0
ZM,Zambie,Afrique,CTR,23886679,0,0,0,0,0,0,0,0,0,23099357,0,787322,0,0
ZW,Zimbabwe,Afrique,CTR,1433520,0,1433520,0,0,0,0,0,0,0,0,0,0,0,0
AFR,Afrique,Afrique,CTN,14483365984,6097019071,4587378344,305209566,9,167413202,143224540,7,29473333,98000000,15521254,72798777,1063868820,0,624547891,1,0,0
AME,Amérique,Amérique,CTN,8226315322,2386375492,2756258075,52003184,23089410,1,428129384,8,920754017,7,162923170,19633486,9842000,80879307,0,42196075,0,17382270
ASI,Asie,Asie,CTN,7433548184,3254219056,2523320490,64613920,270298150,6,197797850,0,0,10926321,0,354839563,3,0,85395851,0,0
EUR,Europe,Europe,CTN,65072866990,23458352668,22146694654,664151861,1895750445,1629379502,691311190,2296816261,38606533,142675446,1972276078,106254559,9,1065789424,12964124,2948914724
OCE,Océanie,Océanie,CTN,559653197,6,262574126,131151368,0,81112969,63,0,9067500,0,0,0,0,0,0,0,0
