ISO CODE;FEAT_NAME;LEVEL;CONTINENT;Flux Total en Fcfa;AFRILAND FIRST BANK;BACI;BBG-CI;BDA;BGFIBank;BHCI;BICICI;BMS;BNI;BOA-CI;BRM-CI;BSIC-CI;CBI-CI;CITIBANK;CNCE;DBCI;ECOBANK-CI;GTBANK-CI;NSIA BANQUE;ORABANK;SCBCI;SGCI;SIB;STABIC BANK;UBA;VERSUSBANK
ISO CODE;FEAT_NAME;LEVEL;CONTINENT;FLD1;FLD2;FLD3;FLD4;FLD5;FLD6;FLD7;FLD8;FLD9;FLD10;FLD11;FLD12;FLD13;FLD14;FLD15;FLD16;FLD17;FLD18;FLD19;FLD20;FLD21;FLD22;FLD23;FLD24;FLD25;FLD26;FLD27
ES;Espagne;CTR;Europe;3705597482;2623828;298306035;0;16398925;367038858;100800000;0;3226652;61915529;446321621;0;33453807;727457;58662431;0;39705674;1088520868;46224831;0;229752216;590537146;0;266637321;2295850;19922329;0
EE;Estonie;CTR;Europe;70401175;0;0;0;0;0;0;0;0;1479183;0;0;0;0;0;0;0;1705488;0;0;0;67216504;0;0;0;0;0
US;Etats-Unis;CTR;Amérique;94071180171;170000903;1219340737;14000000;158729937;268537656;75164766;821503010;0;409875523;264408663;0;9020000;273230820;28828554241;0;128519203;11804651821;187240401;388444879;118788590;45877956575;0;497968817;1145766357;1353636674;0
ET;Ethiopie;CTR;Afrique;1295308861;0;4061911;0;0;0;0;0;0;1194000;0;0;0;0;1283500000;0;0;0;3528000;0;0;0;0;0;0;3024950;0
FI;Finlande;CTR;Europe;1589561772;0;0;0;0;0;0;0;0;0;24618499;0;0;0;1502627358;0;0;0;0;0;0;31157958;0;31157957;0;0;0
FR;France;CTR;Europe;332040065501;268533416;22977320418;563352493;1174576946;1777631517;347924659;13644060363;38111345;5631134007;30291014698;1836680;261840546;5571278894;16116285760;4591000;1026582120;55578001832;1982707511;4108612365;2867345938;46677907794;91368694;10018039623;819549541;104936134244;254859829
GA;Gabon;CTR;Afrique;1736068362;0;0;0;0;995769106;0;30000000;0;32566527;193976069;0;0;1815310;134636654;0;0;0;7851844;137460000;0;88384713;0;18000000;0;95608140;0
GM;Gambie;CTR;Afrique;181991549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18002299;0;0;0;163989250;0;0;0;0;0
GH;Ghana;CTR;Afrique;3939746558;0;0;0;0;1133494;1466871;362392263;0;11831117;158225654;0;0;6169425;2300324971;0;0;794525899;16223756;14423596;0;221891254;0;19545463;697862;29067662;0
GR;Grèce;CTR;Europe;122320556;0;0;0;0;0;0;0;0;6061043;0;0;0;0;0;0;0;655957;1214000;111512690;984300;1892566;0;0;0;0;0
GN;Guinée   ;CTR;Afrique;1145412978;0;8133868;0;0;0;0;0;0;0;12254732;0;0;0;883036444;0;0;36579376;127242596;0;0;72918306;0;5247656;0;0;0
GY;Guyana;CTR;Amérique;2181865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2181865;0;0;0;0;0;0;0;0;0
HT;Haiti;CTR;Amérique;1500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500000;0;0;0;0;0
HK;Hong Kong;CTR;Asie;694126245;0;122607284;0;0;0;0;0;0;0;93152454;0;0;0;352097509;0;0;21662508;0;0;0;30865196;0;57998840;7046363;8696090;0
HU;Hongrie;CTR;Europe;45803390;0;0;0;30154343;0;0;0;0;0;3801927;0;0;0;0;0;0;11847120;0;0;0;0;0;0;0;0;0
IN;Inde;CTR;Asie;2771772927;0;174072408;0;1842750;185453651;0;0;0;173036765;68424936;0;4783840;86302193;209610575;0;316635106;526765603;62355247;43481950;24653312;192209785;0;0;495931000;148462789;0
ID;Indonesie;CTR;Asie;2523917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2523917;0;0;0;0;0;0;0;0;0
