ISO CODE;FEAT_NAME;LEVEL;CONTINENT;Flux Total en Fcfa;AFRILAND FIRST BANK;BACI;BBG-CI;BDA;BGFIBank;BHCI;BICICI;BMS;BNI;BOA-CI;BRM-CI;BSIC-CI;CBI-CI;CITIBANK;CNCE;DBCI;ECOBANK-CI;GTBANK-CI;NSIA BANQUE;ORABANK;SCBCI;SGCI;SIB;STABIC BANK;UBA;VERSUSBANK
ISO CODE;FEAT_NAME;LEVEL;CONTINENT;FLD1;FLD2;FLD3;FLD4;FLD5;FLD6;FLD7;FLD8;FLD9;FLD10;FLD11;FLD12;FLD13;FLD14;FLD15;FLD16;FLD17;FLD18;FLD19;FLD20;FLD21;FLD22;FLD23;FLD24;FLD25;FLD26;FLD27
CA;Canada;CTR;Amérique; 7 019 319 871   ; -     ; 550 845 205   ; 84 657 659   ; 355 193 062   ; -     ; 41 922 519   ; 175 215 558   ; -     ; 609 046 121   ; 353 455 376   ; -     ; 69 117 850   ; 27 140 223   ; 96 434 980   ; 11 650 187   ; 390 436 302   ; 1 485 665 409   ; 71 833 591   ; 357 595 000   ; 138 581 293   ; 1 332 863 427   ; -     ; 495 992 522   ; 14 490 747   ; 357 182 840   ; -     
CV;Cap Vert;CTR;Afrique; 30 000 000   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 30 000 000   ; -     ; -     ; -     
CF;Centrafrique;CTR;Afrique; 74 806 166   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 70 774 132   ; -     ; -     ; -     ; -     ; 2 142 034   ; -     ; -     ; -     ; -     ; -     ; -     ; 1 890 000   ; -     ; -     ; -     ; -     ; -     
CL;Chili;CTR;Amérique; 4 100 000   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 4 100 000   ; -     ; -     ; -     ; -     ; -     
CN;Chine;CTR;Asie; 9 666 665 556   ; 2 901 375   ; 1 750 174 865   ; -     ; -     ; 134 268 078   ; -     ; 44 748 092   ; -     ; 7 180 906   ; 125 797 406   ; -     ; -     ; 55 182 261   ; 305 760 931   ; -     ; 679 622 946   ; 3 210 107 584   ; 12 419 050   ; 18 747 251   ; -     ; 2 432 147 992   ; -     ; 552 000 488   ; 156 165 385   ; 179 440 946   ; -     
CY;Chypre;CTR;Asie; 324 680 601   ; -     ; -     ; -     ; -     ; 163 989 250   ; -     ; -     ; -     ; 14 537 654   ; 20 602 101   ; -     ; -     ; -     ; 28 678 440   ; -     ; -     ; -     ; -     ; -     ; 1 443 735   ; 2 106 370   ; -     ; -     ; -     ; 93 323 051   ; -     
CO;Colombie;CTR;Amérique; 34 360 134   ; -     ; 10 999 086   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 12 361 962   ; -     ; -     ; -     ; -     ; -     
KM;Comores;CTR;Afrique; 1 450 976   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 1 450 976   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
KR;Corée Du Sud;CTR;Asie; 418 775 569   ; -     ; -     ; -     ; -     ; -     ; -     ; 295 719 846   ; -     ; -     ; 31 369 747   ; -     ; -     ; -     ; 85 000 232   ; -     ; -     ; 2 185 744   ; -     ; -     ; -     ; 4 500 000   ; -     ; -     ; -     ; -     ; -     
HR;Croatie;CTR;Europe; 12 066 329   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 12 066 329   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
CU;Cuba;CTR;Amérique; 1 092 600   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 1 092 600   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
DK;Danemark;CTR;Europe; 638 006 073   ; 3 179 088   ; 16 611 366   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 44 790 326   ; -     ; -     ; 2 866 500   ; 787 148   ; -     ; -     ; 434 043 729   ; -     ; -     ; -     ; 81 811 619   ; -     ; 41 954 774   ; 1 145 583   ; 10 815 940   ; -     
DJ;Djibouti;CTR;Afrique; 6 998 868   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 6 998 868   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
DM;Dominica;CTR;Amérique; 5 772 000   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 5 772 000   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
EG;Egypte;CTR;Afrique; 897 571 272   ; -     ; 109 931 000   ; -     ; -     ; -     ; -     ; -     ; -     ; 26 685 598   ; -     ; -     ; -     ; -     ; 556 071 589   ; -     ; -     ; 33 389 100   ; -     ; -     ; -     ; 114 046 128   ; -     ; 43 293 162   ; -     ; 14 154 695   ; -     
AE;Emirats Arabes Unis;CTR;Asie; 897 292 683 115   ; 52 476 560   ; 4 785 426 248   ; -     ; 7 046 832   ; 29 475 000   ; -     ; 84 952 086   ; -     ; 268 911 017   ; 854 075 096   ; 1 215 000   ; -     ; 1 104 174 785   ; 4 684 007 048   ; -     ; 211 580 450   ; 1 910 231 146   ; 265 812 868   ; 78 073 610   ; 11 332 105   ; 882 556 733 095   ; -     ; 281 651 202   ; 29 500 000   ; 74 815 347   ; -     
ES;Espagne;CTR;Europe; 3 705 597 482   ; 2 623 828   ; 298 306 035   ; -     ; 16 398 925   ; 367 038 858   ; 100 800 000   ; -     ; 3 226 652   ; 61 915 529   ; 446 321 621   ; -     ; 33 453 807   ; 727 457   ; 58 662 431   ; -     ; 39 705 674   ; 1 088 520 868   ; 46 224 831   ; -     ; 229 752 216   ; 590 537 146   ; -     ; 266 637 321   ; 2 295 850   ; 19 922 329   ; -     
EE;Estonie;CTR;Europe; 70 401 175   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 1 479 183   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 1 705 488   ; -     ; -     ; -     ; 67 216 504   ; -     ; -     ; -     ; -     ; -     
US;Etats-Unis;CTR;Amérique; 94 071 180 171   ; 170 000 903   ; 1 219 340 737   ; 14 000 000   ; 158 729 937   ; 268 537 656   ; 75 164 766   ; 821 503 010   ; -     ; 409 875 523   ; 264 408 663   ; -     ; 9 020 000   ; 273 230 820   ; 28 828 554 241   ; -     ; 128 519 203   ; 11 804 651 821   ; 187 240 401   ; 388 444 879   ; 118 788 590   ; 45 877 956 575   ; -     ; 497 968 817   ; 1 145 766 357   ; 1 353 636 674   ; -     
ET;Ethiopie;CTR;Afrique; 1 295 308 861   ; -     ; 4 061 911   ; -     ; -     ; -     ; -     ; -     ; -     ; 1 194 000   ; -     ; -     ; -     ; -     ; 1 283 500 000   ; -     ; -     ; -     ; 3 528 000   ; -     ; -     ; -     ; -     ; -     ; -     ; 3 024 950   ; -     
FI;Finlande;CTR;Europe; 1 589 561 772   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 24 618 499   ; -     ; -     ; -     ; 1 502 627 358   ; -     ; -     ; -     ; -     ; -     ; -     ; 31 157 958   ; -     ; 31 157 957   ; -     ; -     ; -     
FR;France;CTR;Europe; 332 040 065 501   ; 268 533 416   ; 22 977 320 418   ; 563 352 493   ; 1 174 576 946   ; 1 777 631 517   ; 347 924 659   ; 13 644 060 363   ; 38 111 345   ; 5 631 134 007   ; 30 291 014 698   ; 1 836 680   ; 261 840 546   ; 5 571 278 894   ; 16 116 285 760   ; 4 591 000   ; 1 026 582 120   ; 55 578 001 832   ; 1 982 707 511   ; 4 108 612 365   ; 2 867 345 938   ; 46 677 907 794   ; 91 368 694   ; 10 018 039 623   ; 819 549 541   ; 104 936 134 244   ; 254 859 829   
GA;Gabon;CTR;Afrique; 1 736 068 362   ; -     ; -     ; -     ; -     ; 995 769 106   ; -     ; 30 000 000   ; -     ; 32 566 527   ; 193 976 069   ; -     ; -     ; 1 815 310   ; 134 636 654   ; -     ; -     ; -     ; 7 851 844   ; 137 460 000   ; -     ; 88 384 713   ; -     ; 18 000 000   ; -     ; 95 608 140   ; -     
GM;Gambie;CTR;Afrique; 181 991 549   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 18 002 299   ; -     ; -     ; -     ; 163 989 250   ; -     ; -     ; -     ; -     ; -     
GH;Ghana;CTR;Afrique; 3 939 746 558   ; -     ; -     ; -     ; -     ; 1 133 494   ; 1 466 871   ; 362 392 263   ; -     ; 11 831 117   ; 158 225 654   ; -     ; -     ; 6 169 425   ; 2 300 324 971   ; -     ; -     ; 794 525 899   ; 16 223 756   ; 14 423 596   ; -     ; 221 891 254   ; -     ; 19 545 463   ; 697 862   ; 29 067 662   ; -     
GR;Grèce;CTR;Europe; 122 320 556   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 6 061 043   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 655 957   ; 1 214 000   ; 111 512 690   ; 984 300   ; 1 892 566   ; -     ; -     ; -     ; -     ; -     
GN;Guinée   ;CTR;Afrique; 1 145 412 978   ; -     ; 8 133 868   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 12 254 732   ; -     ; -     ; -     ; 883 036 444   ; -     ; -     ; 36 579 376   ; 127 242 596   ; -     ; -     ; 72 918 306   ; -     ; 5 247 656   ; -     ; -     ; -     
GY;Guyana;CTR;Amérique; 2 181 865   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 2 181 865   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
HT;Haiti;CTR;Amérique; 1 500 000   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 1 500 000   ; -     ; -     ; -     ; -     ; -     
HK;Hong Kong;CTR;Asie; 694 126 245   ; -     ; 122 607 284   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 93 152 454   ; -     ; -     ; -     ; 352 097 509   ; -     ; -     ; 21 662 508   ; -     ; -     ; -     ; 30 865 196   ; -     ; 57 998 840   ; 7 046 363   ; 8 696 090   ; -     
HU;Hongrie;CTR;Europe; 45 803 390   ; -     ; -     ; -     ; 30 154 343   ; -     ; -     ; -     ; -     ; -     ; 3 801 927   ; -     ; -     ; -     ; -     ; -     ; -     ; 11 847 120   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
IN;Inde;CTR;Asie; 2 771 772 927   ; -     ; 174 072 408   ; -     ; 1 842 750   ; 185 453 651   ; -     ; -     ; -     ; 173 036 765   ; 68 424 936   ; -     ; 4 783 840   ; 86 302 193   ; 209 610 575   ; -     ; 316 635 106   ; 526 765 603   ; 62 355 247   ; 43 481 950   ; 24 653 312   ; 192 209 785   ; -     ; -     ; 495 931 000   ; 148 462 789   ; -     
ID;Indonesie;CTR;Asie; 2 523 917   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 2 523 917   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
IQ;Irak;CTR;Asie; 1 894 840   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 947 420   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
IE;Irlande;CTR;Europe; 1 692 090 780   ; -     ; 6 814 368   ; -     ; -     ; -     ; -     ; -     ; -     ; 24 430 925   ; -     ; -     ; -     ; -     ; 227 530 195   ; -     ; 56 711 081   ; 336 795 332   ; -     ; -     ; 3 243 486   ; 918 201 508   ; -     ; 109 515 026   ; -     ; 6 428 378   ; -     
IL;Israël;CTR;Asie; 1 544 315 808   ; -     ; 92 805 982   ; -     ; 33 189 975   ; 27 956 886   ; -     ; 16 914 084   ; -     ; 127 487 141   ; -     ; -     ; -     ; -     ; -     ; -     ; 56 740 280   ; 569 291 682   ; 53 166 764   ; 49 999 994   ; 26 528 960   ; 126 772 708   ; -     ; 222 602 008   ; -     ; 134 299 774   ; -     
IT;Italie;CTR;Europe; 4 459 584 598   ; -     ; 2 185 161 619   ; -     ; 111 755 059   ; 12 296 570   ; -     ; 17 710 839   ; 23 086 408   ; 116 190 971   ; 12 280 827   ; -     ; -     ; 60 300 396   ; 11 220 932   ; -     ; -     ; 735 353 044   ; 918 340   ; 12 700 000   ; 307 368 810   ; 541 108 560   ; -     ; 301 232 843   ; -     ; 10 899 380   ; -     
JP;Japon;CTR;Asie; 57 073 214 795   ; -     ; 101 193 255   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 56 825 912 045   ; -     ; -     ; 3 531 036   ; -     ; -     ; -     ; 81 986 372   ; -     ; -     ; -     ; 60 592 087   ; -     
JO;Jordanie;CTR;Asie; 9 390 487   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 6 765 217   ; -     ; -     ; 2 625 270   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
KE;Kenya;CTR;Afrique; 4 288 634 859   ; -     ; 68 775 000   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 5 220 424   ; 153 303 467   ; -     ; -     ; 3 762 609 823   ; 114 913 078   ; -     ; 660 000   ; 150 276 935   ; -     ; 16 176 818   ; -     ; 10 699 314   ; -     
LV;Lettonie;CTR;Europe; 180 367 915   ; -     ; 32 317 839   ; -     ; -     ; 44 830 069   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 22 858 645   ; -     ; -     ; -     ; 78 852 661   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 1 508 701   ; -     
LB;Liban;CTR;Asie; 5 648 137 853   ; -     ; 298 600 103   ; 16 463 209   ; 22 950 495   ; 20 794 626   ; -     ; 59 278 506   ; -     ; 28 345 625   ; 1 055 023 021   ; -     ; -     ; 224 557 179   ; 205 400 366   ; -     ; -     ; 154 518 602   ; -     ; 32 797 850   ; 162 321 267   ; 2 709 165 016   ; -     ; 657 324 028   ; -     ; 597 960   ; -     
LR;Liberia;CTR;Afrique; 253 920 550   ; -     ; 9 961 390   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 42 897 452   ; -     ; -     ; 177 095 459   ; -     ; -     ; -     ; -     ; -     ; 13 354 000   ; 10 612 249   ; -     ; -     
LT;Lituanie;CTR;Europe; 33 900 813   ; -     ; 26 569 701   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 6 532 583   ; -     ; -     ; -     ; -     ; -     ; -     ; 798 529   ; -     ; -     ; -     ; -     ; -     
LU;Luxembourg;CTR;Europe; 79 339 981 377   ; -     ; 149 308 040   ; 1 089 095 678   ; 1 406 497 298   ; 22 958 495   ; -     ; 5 931 281 320   ; -     ; 2 713 078 285   ; 19 095 138   ; -     ; -     ; -     ; 49 453 987 252   ; -     ; -     ; 109 665 047   ; -     ; 109 861 844   ; -     ; 17 573 736 421   ; -     ; 80 654 375   ; -     ; 32 797 850   ; 22 958 495   
