REGIONS/DISTRICTS;Population totale 2017; Population 0 à 11 mois; Population 0 à 4 ans; Population de moins de 15 ans; Population de 15 ans et plus; Femme en âge de procréer; Grossesses attendues; Naissances attendues; Complications obstétricales attendues
GBOKLE-NAWA-SAN PEDRO2251 821;89512;415439;1018 663;1233 158;519005;96535;80445;12068
GUEYO;86467;3732;17467;41635;44832;18824;3502;2918;438
SAN-PEDRO;652175;25337;117086;290270;361905;154228;28685;23904;3586
SASSANDRA;309474;12983;59190;137312;172162;70738;13157;10964;1645
SOUBRE;1001 686;39288;183461;461230;540456;229606;42708;35590;5339
TABOU;202019;8172;38235;88216;113803;45610;8483;7069;1060
GÔH;981377;35397;164843;437495;543882;221597;38020;31684;4753
GAGNOA;674435;25365;114953;298751;375684;153005;26252;21877;3282
OUME;306942;10032;49889;138744;168198;68592;11768;9807;1471
HAMBOL;475606;18519;85112;219928;255678;104194;18107;15089;2263
DABAKALA;209338;8276;38623;100796;108542;43890;7627;6356;953
KATIOLA;118250;4499;20286;51927;66323;26682;4637;3864;580
NIAKARAMADOUGOU;148018;5744;26203;67206;80812;33622;5843;4869;730
HAUT SASSANDRA1478 612;49799;253870;661414;817198;328942;61178;50982;7648
DALOA;725530;23543;114942;305585;419945;164452;30583;25486;3823
ISSIA;338819;11328;58701;157112;181707;73580;13685;11404;1711
VAVOUA;414263;14928;80226;198717;215546;90910;16910;14092;2114
INDENIE DUABLIN;607750;20990;96982;257301;350449;143614;25450;21208;3182
ABENGOUROU;364530;12309;55196;150180;214350;87474;15502;12918;1938
AGNIBILEKROU;182388;6571;31156;79748;102640;42057;7453;6211;932
BETTIE;60832;2111;10630;27373;33459;14083;2495;2079;312
KABADOUGOUBAFING-FOLON;512209;20813;97849;234008;278201;114623;19399;16166;2425
MINIGNAN;104838;4867;20406;46557;58281;26722;3805;3171;476
ODIENNE;204534;8824;40429;100300;104234;42323;7690;6408;961
TOUBA;202837;7122;37014;87151;115686;45578;7904;6587;988
LÔH-DJIBOUA;889497;32215;153681;401441;488056;200511;35980;29983;4497
DIVO;409242;14237;66849;181825;227417;94182;16817;14014;2102
FRESCO;104671;5290;20536;49087;55584;23318;4338;3615;542
GUITRY;157950;5562;28463;72876;85074;34623;6184;5153;773
LAKOTA;217634;7126;37833;97653;119981;48387;8641;7201;1080
MARAHOUE;934033;36423;167049;425915;508118;203766;36240;30200;4530
BOUAFLE;443740;16876;78275;195853;247887;97994;17388;14490;2174
SINFRA;257802;11436;46111;120940;136862;56498;10108;8423;1263
