CODE,ADM_NAME,CONTINENT,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD16,FLD17
HU,Hongrie,Europe,CTR,45803390,42001463,3801927,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,Inde,Asie,CTR,1803499794,1449045796,231727363.5,0,18909332,0,0,0,0,0,100027170,0,3790132,0,0,0
ID,Indonesie,Asie,CTR,2523917,2523917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQ,Irak,Asie,CTR,947420,947420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Irlande,Europe,CTR,1351626901,850364120,501262781,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Israël,Asie,CTR,1306778538,906038388.9,392684789,3918360,0,0,0,0,0,0,4137000,0,0,0,0,0
IT,Italie,Europe,CTR,3825940796,1696791906,356589878.6,47884862,112185481,126259759,0,0,0,0,2038296,48237660,0,0,1435952954,0
JP,Japon,Asie,CTR,56996006161,56993379377,2626784,0,0,0,0,0,0,0,0,0,0,0,0,0
JO,Jordanie,Asie,CTR,9390487,7637358,0,0,0,0,0,0,0,0,1753129,0,0,0,0,0
KE,Kenya,Afrique,CTR,4091469974,3970329208,27349943.16,660000,0,0,0,0,0,0,70349110,0,22781713,0,0,0
LV,Lettonie,Europe,CTR,178859214,17717608,22150506,0,0,0,0,0,0,0,29558466,0,109432634,0,0,0
LB,Liban,Asie,CTR,3525635514,2992996631,430474925,7092000,53567517,0,0,0,0,0,34155125,0,7349316,0,0,0
LR,Liberia,Afrique,CTR,239436966,135444360,87420324,0,0,0,0,0,0,0,16572282,0,0,0,0,0
LT,Lituanie,Europe,CTR,18813802,18015273,798529,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,Luxembourg,Europe,CTR,78395552409,78298161115,13712027,0,0,0,0,0,0,0,83679267,0,0,0,0,0
MK,Macédoine Du Nord,Europe,CTR,6036247,2951807,3084440,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Madagascar,Afrique,CTR,21551106,20545308,0,0,0,0,0,0,0,0,1005798,0,0,0,0,0
MY,Malaisie,Asie,CTR,75858158.6,67503761,1055268,0,7299129.6,0,0,0,0,0,0,0,0,0,0,0
MW,Malawi,Afrique,CTR,10120800,10120800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,Maldives,Asie,CTR,61686332,0,61686332,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,Malte,Europe,CTR,150851231.5,96089910.5,54761321,0,0,0,0,0,0,0,0,0,0,0,0,0
