CODE,ADM_NAME,CONTINENT,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10
MZ,Mozanbique,Afrique,CTR,0,0,0,0,0,0,0,0,0,0
NA,Namibie,Afrique,CTR,0,0,0,0,0,0,0,0,0,0
NP,Nepal,Asie,CTR,0,0,0,0,0,0,0,0,0,0
NG,Nigeria,Afrique,CTR,71841656,18013352,50000000,0,0,0,0,3828304,0,0
NO,Norvege,Europe,CTR,0,0,0,0,0,0,0,0,0,0
NZ,Nouvelle-Zélande,Océanie,CTR,0,0,0,0,0,0,0,0,0,0
OCE,Océanie,Océanie,CTN,45889551,45889551,0,0,0,0,0,0,0,0
UG,Ouganda,Afrique,CTR,6582682,6582682,0,0,0,0,0,0,0,0
PK,Pakistan,Asie,CTR,0,0,0,0,0,0,0,0,0,0
PA,Panama,Amérique,CTR,0,0,0,0,0,0,0,0,0,0
NL,Pays-Bas,Europe,CTR,512633518,32804835,0,0,0,50618409,423643167,5567107,0,0
PE,Perou,Amérique,CTR,0,0,0,0,0,0,0,0,0,0
PH,Philippines,Asie,CTR,829872,829872,0,0,0,0,0,0,0,0
PL,Pologne,Europe,CTR,0,0,0,0,0,0,0,0,0,0
PT,Portugal,Europe,CTR,0,0,0,0,0,0,0,0,0,0
CD,République Démocratique Du Congo,Afrique,CTR,11520600,6354000,0,602358,0,0,0,0,4564242,0
DO,Republique Dominicaine,Amérique,CTR,0,0,0,0,0,0,0,0,0,0
CG,République Du Congo,Afrique,CTR,0,0,0,0,0,0,0,0,0,0
CZ,République Tchèque,Europe,CTR,4096185,4096185,0,0,0,0,0,0,0,0
RO,Roumanie,Europe,CTR,0,0,0,0,0,0,0,0,0,0
GB,Royaume-Uni,Europe,CTR,667337907.4,140128457.4,0,127738309,6125982,1300736,150623365,241421058,0,0
RU,Russie,Europe,CTR,21669452,0,0,0,0,0,21669452,0,0,0
RW,Rwanda,Afrique,CTR,1221036,1221036,0,0,0,0,0,0,0,0
SC,Seychelles,Afrique,CTR,16398925,16398925,0,0,0,0,0,0,0,0
SL,Sierra Leone,Afrique,CTR,0,0,0,0,0,0,0,0,0,0
SG,Singapour ,Asie,CTR,0,0,0,0,0,0,0,0,0,0
SK,Slovaquie,Europe,CTR,0,0,0,0,0,0,0,0,0,0
SI,Slovénie,Europe,CTR,0,0,0,0,0,0,0,0,0,0
SE,Suède,Europe,CTR,17255190,17255190,0,0,0,0,0,0,0,0
CH,Suisse,Europe,CTR,477585364,157688317,0,59219532,0,89959680,143269887,25668564,1779384,0
TW,Taïwan,Asie,CTR,0,0,0,0,0,0,0,0,0,0
TZ,Tanzanie,Afrique,CTR,13004208,13004208,0,0,0,0,0,0,0,0
TD,Tchad,Afrique,CTR,24498573,0,0,4929603,0,0,865350,1730700,16972920,0
TN,Tunisie,Afrique,CTR,206028320.8,206028320.8,0,0,0,0,0,0,0,0
TR,Turquie,Asie,CTR,0,0,0,0,0,0,0,0,0,0
VD,Vietnam,Asie,CTR,0,0,0,0,0,0,0,0,0,0
ZM,Zambie,Afrique,CTR,2060451,2060451,0,0,0,0,0,0,0,0
ZW,Zimbabwe,Afrique,CTR,0,0,0,0,0,0,0,0,0,0
