CODE,ADM_NAME,LEVEL,CONTINENT,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD16,FLD17,FLD18,FLD19,FLD20,FLD21,FLD22,FLD23,FLD24,FLD25,FLD26,FLD27
NO,Norvege,CTR,Amérique,699780479,0,108423184,0,0,0,0,0,1504765,0,193503714,0,0,0,134065797,0,0,3612262,0,0,0,258670757,0,0,0,0,0
NZ,Nouvelle-Zélande,CTR,Europe,21587545,0,0,0,0,0,0,0,0,0,0,0,0,0,21587545,0,0,0,0,0,0,0,0,0,0,0,0
OCE,Océanie,CTN,Amérique,27166093429,0,303870088,0,0,0,0,0,0,10535530,2248188,0,0,16991976,28896765,0,0,273655966,0,0,0,25679644743,0,13500000,836750173,0,0
UG,Ouganda,CTR,Asie,34032429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21266433,0,0,0,3018450,524706,0,0,9222840,0
PK,Pakistan,CTR,Europe,175878408,0,94654658,0,0,0,0,0,0,13552738,0,0,0,0,0,0,0,0,0,0,0,61711012,0,0,0,5960000,0
PA,Panama,CTR,Europe,104475000,0,104475000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Pays-Bas,CTR,Afrique,21106398711,0,188572041,0,504057643,25819445,0,1673922250,5567107,1413937255,492923474,0,0,73549599,1636415817,0,0,353706684,165936964,141172730,0,13294965457,0,441489548,668480825,25881873,0
PE,Perou,CTR,Amérique,28706404,0,0,0,0,0,0,0,0,0,0,0,0,0,28706404,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,CTR,Afrique,553855740,0,0,0,0,0,0,0,0,0,0,0,0,0,5179880,0,0,32049605,0,0,0,0,0,0,0,516626255,0
PL,Pologne,CTR,Europe,183588207,3227308,0,0,0,0,0,102329292,0,0,0,0,0,0,0,0,0,25672463,0,0,0,52359144,0,0,0,0,0
