ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
94,D04,ADIAKE,YES,DISTRICT,27593,3916,141.9
95,D37,GRAND-BASSAM,YES,DISTRICT,25806,7799,302.2
96,R19,TONKPI,N/A,REGION,184054,46258,251.3
97,D12,BIANKOUMA,YES,DISTRICT,36285,11114,306.3
98,D28,DANANE,YES,DISTRICT,52134,9524,182.7
99,D48,MAN,YES,DISTRICT,59041,14850,251.5
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,36595,10770,294.3
101,R20,WORODOUGOU-BERE,N/A,REGION,136159,12187,89.5
102,D49,MANKONO,YES,DISTRICT,82664,7989,96.6
103,D60,SEGUELA,YES,DISTRICT,53495,4198,78.5
104,P01,TOTAL CI,N/A,PAYS,3988677,746995,187.3
