ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
93,D03,ABOISSO,YES,DISTRICT,319154,20239,63.4
94,D04,ADIAKE,YES,DISTRICT,161423,8647,53.6
95,D37,GRAND-BASSAM,YES,DISTRICT,185638,17692,95.3
96,R19,TONKPI,N/A,REGION,1073147,77366,72.1
97,D12,BIANKOUMA,YES,DISTRICT,212095,17951,84.6
98,D28,DANANE,YES,DISTRICT,288835,14664,50.8
99,D48,MAN,YES,DISTRICT,361297,27247,75.4
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,210920,17504,83
101,R20,WORODOUGOU-BERE,N/A,REGION,711375,28102,39.5
102,D49,MANKONO,YES,DISTRICT,426233,14766,34.6
103,D60,SEGUELA,YES,DISTRICT,285142,13336,46.8
104,P01,TOTAL CI,N/A,PAYS,24571046,1359098,55.3
