ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
93,D03,ABOISSO,YES,DISTRICT,319154,215181,67.4
94,D04,ADIAKE,YES,DISTRICT,161423,103972,64.4
95,D37,GRAND-BASSAM,YES,DISTRICT,185638,178751,96.3
96,R19,TONKPI,N/A,REGION,1073147,545223,50.8
97,D12,BIANKOUMA,YES,DISTRICT,212095,80267,37.8
98,D28,DANANE,YES,DISTRICT,288835,117794,40.8
99,D48,MAN,YES,DISTRICT,361297,253403,70.1
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,210920,93759,44.5
101,R20,WORODOUGOU-BERE,N/A,REGION,711375,293539,41.3
102,D49,MANKONO,YES,DISTRICT,426233,168574,39.5
103,D60,SEGUELA,YES,DISTRICT,285142,124965,43.8
104,P01,TOTAL CI,N/A,PAYS,24571046,12955898,52.7
