ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD16
55,D25,DABAKALA,YES,DISTRICT,6,1,1,0,0,0,1,0,1,0,91,0,2,0,10,113
56,D44,KATIOLA,YES,DISTRICT,108,1,10,0,7,5,37,0,4,4,213,0,4,25,60,478
57,D53,Niakaramandougou,YES,DISTRICT,27,3,6,0,2,1,2,0,0,4,120,0,3,0,9,177
58,R11,HAUT SASSANDRA,N/A,REGION,435,28,80,0,5,8,60,5,60,43,1092,0,85,13,524,2438
59,D27,DALOA,YES,DISTRICT,358,12,64,0,0,8,44,0,46,36,642,0,69,13,465,1757
60,D42,ISSIA,YES,DISTRICT,21,10,7,0,4,0,14,5,6,7,341,0,14,0,0,429
61,D72,VAVOUA,YES,DISTRICT,56,6,9,0,1,0,2,0,8,0,109,0,2,0,59,252
62,R12,INDENIE DUABLIN,N/A,REGION,45,1,26,0,0,1,1,0,11,3,828,0,44,84,157,1201
63,D01,ABENGOUROU,YES,DISTRICT,8,1,16,0,0,1,1,0,1,1,451,0,37,82,31,630
64,D07,AGNIBILEKROU,YES,DISTRICT,27,0,9,0,0,0,0,0,9,0,319,0,7,2,110,483
65,D11,BETTIE,YES,DISTRICT,10,0,1,0,0,0,0,0,1,2,58,0,0,0,16,88
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,533,25,87,0,11,1,12,0,7,25,657,16,37,21,151,1583
67,D51,MINIGNAN,YES,DISTRICT,2,0,3,0,0,0,2,0,0,0,107,0,2,0,2,118
68,D54,ODIENNE,YES,DISTRICT,467,24,76,0,11,1,10,0,4,16,352,16,28,12,113,1130
69,D69,TOUBA,YES,DISTRICT,64,1,8,0,0,0,0,0,3,9,198,0,7,9,36,335
70,R14,LÔH-DJIBOUA,N/A,REGION,197,33,201,0,18,3,70,14,17,52,812,1,59,70,295,1679
71,D32,DIVO,YES,DISTRICT,101,12,118,0,0,3,66,8,14,48,488,1,43,58,191,1151
72,D35,FRESCO,YES,DISTRICT,39,13,8,0,11,0,0,1,0,0,9,0,7,0,23,111
73,D41,GUITRY,YES,DISTRICT,14,3,9,0,0,0,0,0,0,0,109,0,1,12,15,163
74,D47,LAKOTA,YES,DISTRICT,43,5,66,0,7,0,4,5,3,4,206,0,8,0,66,417
75,R15,MARAHOUE,N/A,REGION,81,6,53,0,3,2,30,0,12,14,561,25,38,48,143,1016
76,D16,BOUAFLE,YES,DISTRICT,57,4,32,0,2,0,24,0,7,9,291,25,17,29,95,592
77,D62,SINFRA,YES,DISTRICT,1,1,8,0,1,0,1,0,0,3,187,0,14,18,11,245
78,D75,ZUENOULA,YES,DISTRICT,23,1,13,0,0,2,5,0,5,2,83,0,7,1,37,179
79,R16,N'ZI-IFFOU,N/A,REGION,218,6,85,0,7,2,27,4,19,41,652,5,29,15,342,1452
80,D14,BOCANDA,YES,DISTRICT,38,1,13,0,0,2,0,0,1,6,50,0,2,3,29,145
81,D24,BONGOUANOU,YES,DISTRICT,112,0,6,0,0,0,2,0,2,8,248,0,5,3,209,595
82,D29,DAOUKRO,YES,DISTRICT,19,3,29,0,5,0,6,0,7,20,138,2,10,9,0,248
83,D31,DIMBOKRO,YES,DISTRICT,17,2,16,0,0,0,9,4,5,7,96,0,6,0,70,232
84,D50,M'BAHIAKRO,YES,DISTRICT,12,0,7,0,0,0,6,0,3,0,46,3,5,0,15,97
85,D57,PRIKRO,YES,DISTRICT,20,0,14,0,2,0,4,0,1,0,74,0,1,0,19,135
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,484,32,104,0,4,3,42,78,73,63,2302,75,56,393,587,4296
87,D23,BOUNDIALI,YES,DISTRICT,13,0,4,0,0,0,0,0,1,1,425,9,1,3,12,469
88,D34,FERKESSEDOUGOU,YES,DISTRICT,93,3,2,0,3,1,16,0,9,6,346,63,10,52,18,622
89,D45,KORHOGO,YES,DISTRICT,359,29,96,0,1,2,26,78,61,56,1241,3,44,325,557,2878
90,D55,OUANGOLODOUGOU,YES,DISTRICT,15,0,0,0,0,0,0,0,2,0,148,0,0,8,0,173
91,D66,TENGRELA,YES,DISTRICT,4,0,2,0,0,0,0,0,0,0,142,0,1,5,0,154
92,R18,SUD-COMOE,N/A,REGION,93,6,84,0,9,4,36,29,17,25,537,10,15,71,182,1118
93,D03,ABOISSO,YES,DISTRICT,33,1,43,0,4,2,22,5,0,16,148,10,7,29,111,431
94,D04,ADIAKE,YES,DISTRICT,3,3,23,0,5,1,7,17,10,7,214,0,2,21,48,361
95,D37,GRAND-BASSAM,YES,DISTRICT,57,2,18,0,0,1,7,7,7,2,175,0,6,21,23,326
96,R19,TONKPI,N/A,REGION,290,30,84,0,4,0,15,11,33,14,1034,36,68,32,260,1911
97,D12,BIANKOUMA,YES,DISTRICT,17,3,9,0,0,0,4,0,1,4,148,2,5,0,16,209
98,D28,DANANE,YES,DISTRICT,45,5,13,0,3,0,6,2,14,1,175,15,22,0,39,340
99,D48,MAN,YES,DISTRICT,213,19,60,0,1,0,2,9,17,9,587,13,26,32,188,1176
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,15,3,2,0,0,0,3,0,1,0,124,6,15,0,17,186
101,R20,WORODOUGOU-BERE,N/A,REGION,74,33,44,0,0,0,3,2,3,3,1037,10,20,1,134,1364
102,D49,MANKONO,YES,DISTRICT,26,1,0,0,0,0,3,0,0,0,491,10,3,1,112,647
103,D60,SEGUELA,YES,DISTRICT,48,32,44,0,0,0,0,2,3,3,546,0,17,0,22,717
104,P01,TOTAL CI,N/A,PAYS, 3 886,332,1 685,2,156,60,588,328,756,656,21 458,281,892,1 231,5 649,42 222   
