ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5
81,D24,BONGOUANOU,YES,DISTRICT,168418,53682,222100,75.8,24.2
82,D29,DAOUKRO,YES,DISTRICT,72473,18531,91004,79.6,20.4
83,D31,DIMBOKRO,YES,DISTRICT,57726,20340,78066,73.9,26.1
84,D50,M'BAHIAKRO,YES,DISTRICT,32642,8666,41308,79,21
85,D57,PRIKRO,YES,DISTRICT,32690,8290,40980,79.8,20.2
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,726619,171718,898337,80.9,19.1
87,D23,BOUNDIALI,YES,DISTRICT,111058,34097,145155,76.5,23.5
88,D34,FERKESSEDOUGOU,YES,DISTRICT,101421,64458,165879,61.1,38.9
89,D45,KORHOGO,YES,DISTRICT,376395,55930,432325,87.1,12.9
90,D55,OUANGOLODOUGOU,YES,DISTRICT,91718,8405,100123,91.6,8.4
91,D66,TENGRELA,YES,DISTRICT,46027,8828,54855,83.9,16.1
92,R18,SUD-COMOE,N/A,REGION,354716,143188,497904,71.2,28.8
93,D03,ABOISSO,YES,DISTRICT,171317,43864,215181,79.6,20.4
94,D04,ADIAKE,YES,DISTRICT,85136,18836,103972,81.9,18.1
95,D37,GRAND-BASSAM,YES,DISTRICT,98263,80488,178751,55,45
96,R19,TONKPI,N/A,REGION,456478,88745,545223,83.7,16.3
97,D12,BIANKOUMA,YES,DISTRICT,71584,8683,80267,89.2,10.8
98,D28,DANANE,YES,DISTRICT,85974,31820,117794,73,27
99,D48,MAN,YES,DISTRICT,217849,35554,253403,86,14
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,81071,12688,93759,86.5,13.5
101,R20,WORODOUGOU-BERE,N/A,REGION,255331,38208,293539,87,13
102,D49,MANKONO,YES,DISTRICT,156985,11589,168574,93.1,6.9
103,D60,SEGUELA,YES,DISTRICT,98346,26619,124965,78.7,21.3
104,P01,TOTAL CI,N/A,PAYS,10132988,2581021,12948403,78.3,19.9
