ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
93,D03,ABOISSO,YES,DISTRICT,52034,12154,233.6
94,D04,ADIAKE,YES,DISTRICT,27593,3751,135.9
95,D37,GRAND-BASSAM,YES,DISTRICT,25806,6057,234.7
96,R19,TONKPI,N/A,REGION,184054,30971,168.3
97,D12,BIANKOUMA,YES,DISTRICT,36285,7153,197.1
98,D28,DANANE,YES,DISTRICT,52134,7811,149.8
99,D48,MAN,YES,DISTRICT,59041,12655,214.3
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,36595,3352,91.6
101,R20,WORODOUGOU-BERE,N/A,REGION,136159,18382,135
102,D49,MANKONO,YES,DISTRICT,82664,10452,126.4
103,D60,SEGUELA,YES,DISTRICT,53495,7930,148.2
104,P01,TOTAL CI,N/A,PAYS,3988677,594455,149
