ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
94,D04,ADIAKE,YES,DISTRICT,27593,11411,413.5
95,D37,GRAND-BASSAM,YES,DISTRICT,25806,10490,406.5
96,R19,TONKPI,N/A,REGION,184054,54253,294.8
97,D12,BIANKOUMA,YES,DISTRICT,36285,9798,270
98,D28,DANANE,YES,DISTRICT,52134,11484,220.3
99,D48,MAN,YES,DISTRICT,59041,19045,322.6
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,36595,13926,380.5
101,R20,WORODOUGOU-BERE,N/A,REGION,136159,43877,322.2
102,D49,MANKONO,YES,DISTRICT,82664,24302,294
103,D60,SEGUELA,YES,DISTRICT,53495,19575,365.9
104,P01,TOTAL CI,N/A,PAYS,3988677,1124025,281.8
